answers;H;(H);(Hd);A;(A);Ad;At;Sex;Obj;Aobj;Aat;Food;N;Geo;Pi;Arch;Art;Abs;Bi;Ti;Ci
На фотографии представлены разноцветные овощные шашлыки.;;;;;;;;;;;;1;;;;;;;;;
"Визуализация аппетитных креветок, обжаренных с чесноком и петрушкой.";;;;;;;;;;;;1;;;;;;;;;
"На фото показаны соблазнительные кусочки шоколадного торта, украшенного ягодами и шоколадной глазурью.";;;;;;;;;;;;1;;;;;;;;;
"Изображение ароматного французского багета, свежеиспеченного и хрустящего.";;;;;;;;;;;;1;;;;;;;;;
"Визуализация целой рыбы, запеченной с лимоном и травами, на деревянной подносе.";;;;;;;;;1;;;1;;;;;;;;;
"На фотографии представлены аппетитные кусочки свежего лосося, выложенные на листе салата.";;;;;;;;;;;;1;;;;;;;;;
"Изображение разноцветных суши, красиво поданых на белой керамической тарелке.";;;;;;;;;1;;;1;;;;;;;;;
"Визуализация смачных гамбургеров с сочным мясом, сыром, овощами и горчичным соусом.";;;;;;;;;;;;1;;;;;;;;;
На фото показаны аппетитные кусочки хрустящего куриного фрика с соусом.;;;;;;;;;;;;1;;;;;;;;;
"Визуализация сытного тыквенного супа, украшенного красным перцем и зеленью.";;;;;;;;;;;;1;;;;;;;;;
На фотографии представлены аппетитные кусочки пиццы с ароматными начинками и сыром.;;;;;;;;;;;;1;;;;;;;;;
"Изображение разноцветных фруктовых салатов в стеклянных бокалах, украшенных мятой.";;;;;;;;;1;;;1;;;;;;;;;
Визуализация сладкого ватрушечного пирога с ароматными яблоками и корицей.;;;;;;;;;;;;1;;;;;;;;;
"На фото показаны аппетитные роллы с крабовым мясом, авокадо и огурцом, поданые с имбирем и васаби.";;;;;;;;;;;;1;;;;;;;;;
"Изображение свежих морепродуктов - кальмаров, мидий и креветок на льду.";;;;;;;;;;;;1;;;;;;;;;
"Визуализация ароматного карри с курицей, приготовленного с овощами и кокосовым молоком.";;;;;;;;;;;;1;;;;;;;;;
"На фотографии представлены аппетитные кусочки кремового чизкейка, украшенные ягодами.";;;;;;;;;;;;1;;;;;;;;;
"Визуализация горячего шоколадного пирога с жидким сердцем, поданного с мороженым.";;;;;;;;;;;;1;;;;;;;;;
На фото показаны аппетитные кусочки свежего лаваша с хумусом и овощами.;;;;;;;;;;;;1;;;;;;;;;
"Изображение разноцветных сладких мармеладных конфеток, выложенных на стеклянной тарелке.";;;;;;;;;1;;;1;;;;;;;;;
"Визуализация душистого фаршированного перца, запеченного с мясной начинкой и томатным соусом.";;;;;;;;;;;;1;;;;;;;;;
На фотографии представлены аппетитные кусочки хрустящего французского круассана.;;;;;;;;;;;;1;;;;;;;;;
Визуализация пышных вафельных сосисок.;;;;;;;;;;;;1;;;;;;;;;
"На фото показаны аппетитные кусочки лосося, запеченные с лимоном и зеленью.";;;;;;;;;;;;1;;;;;;;;;
Изображение разноцветных шариков мороженого с шоколадным и клубничным соусом.;;;;;;;;;;;;1;;;;;;;;;
"Визуализация ароматного брускетта с помидорами, базиликом и оливковым маслом.";;;;;;;;;;;;1;;;;;;;;;
"На фотографии представлены аппетитные кусочки картофельного пюре, украшенные зеленью.";;;;;;;;;;;;1;;;;;;;;;
"Изображение свежих и сочных бургеров с говяжьей котлетой, сыром и овощами.";;;;;;;;;;;;1;;;;;;;;;
"Визуализация горячего и ароматного борща, поданного с красным перцем и сметаной.";;;;;;;;;;;;1;;;;;;;;;
На фото показаны аппетитные кусочки пасты с томатным соусом и пармезаном.;;;;;;;;;;;;1;;;;;;;;;
"Изображение разноцветных макаронных изделий - спагетти, фарфалле, пенне на деревянной доске.";;;;;;;;;1;;;1;;;;;;;;;
"Визуализация ароматной мясной пиццы с перцем, пепперони и сыром.";;;;;;;;;;;;1;;;;;;;;;
"Изображение свежих овощных салатов, приготовленных с огурцами, помидорами и зеленью.";;;;;;;;;;;;1;;;;;;;;;
"Визуализация ароматного чесночного хлеба, свежеиспеченного и нарезанного на ломтики.";;;;;;;;;;;;1;;;;;;;;;
На фото показаны аппетитные кусочки грильяжа с орехами и карамелью.;;;;;;;;;;;;1;;;;;;;;;
"Изображение разноцветных фруктовых коктейлей, украшенных веточкой мяты.";;;;;;;;;;;;1;;;;;;;;;
"Визуализация аппетитных кусочков тортильи с авокадо, сыром и овощами.";;;;;;;;;;;;1;;;;;;;;;
"На фотографии представлены соблазнительные кусочки творожного чизкейка, украшенные клубникой.";;;;;;;;;;;;1;;;;;;;;;
"Изображение свежего и ароматного картофельного супа, поданного в керамической тарелке.";;;;;;;;;1;;;1;;;;;;;;;
Визуализация аппетитного рисового пудинга с корицей и сахаром.;;;;;;;;;;;;1;;;;;;;;;
На фото показаны соблазнительные кусочки брауни с грецкими орехами и шоколадной глазурью.;;;;;;;;;;;;1;;;;;;;;;
"Изображение разноцветных фруктовых соков, налитых в стеклянные бокалы и украшенных ломтиками фруктов.";;;;;;;;;;;;1;;;;;;;;;
"Визуализация аппетитных кусочков пасты с морепродуктами и лимоном, поданных на белой тарелке.";;;;;;;;;1;;;1;;;;;;;;;
"Изображение аппетитных кусочков сыра фета, выложенных на листе салата.";;;;;;;;;;;;1;;;;;;;;;
Визуализация сладких и ароматных кексов с кусочками шоколада и орехами.;;;;;;;;;;;;1;;;;;;;;;
"На фото показаны аппетитные кусочки тунца, приготовленные с соевым соусом и кунжутом.";;;;;;;;;;;;1;;;;;;;;;
"Изображение разноцветных фруктовых коктейлей, украшенных дольками ананаса и мяты.";;;;;;;;;;;;1;;;;;;;;;
Визуализация аппетитных кусочков лаваша с начинкой из овощей и куриного мяса.;;;;;;;;;;;;1;;;;;;;;;
Изображение ароматных и свежих булочек с маком.;;;;;;;;;;;;1;;;;;;;;;
"Визуализация аппетитного куриного супа с лапшой и овощами, поданных в глиняной миске.";;;;;;;;;1;;;1;;;;;;;;;
"На фото показаны сочные кусочки пикантной пепперони, выложенные на пицце.";;;;;;;;;;;;1;;;;;;;;;
"Изображение разноцветных фруктовых десертов - фруктовый салат, приготовленный с ананасом, яблоками и гранатом.";;;;;;;;;;;;1;;;;;;;;;
"Визуализация аппетитных кусочков медового торта, украшенного орехами и ягодами.";;;;;;;;;;;;1;;;;;;;;;
"Изображение ароматных и сочных мидий, приготовленных с чесноком и зеленью.";;;;;;;;;;;;1;;;;;;;;;
"Визуализация аппетитных кусочков творожного пирога, украшенных вишнями и мятой.";;;;;;;;;;;;1;;;;;;;;;
Изображение разноцветных фруктовых салатов с добавлением ягод и фруктов.;;;;;;;;;;;;1;;;;;;;;;
Визуализация аппетитных кусочков кремового пирога с клубникой и мятой.;;;;;;;;;;;;1;;;;;;;;;
"Изображение ароматного и сочного лимонного кекса, украшенного лимонной цедрой.";;;;;;;;;;;;1;;;;;;;;;
Визуализация аппетитных кусочков морковного пирога с ванильным кремом и орехами.;;;;;;;;;;;;1;;;;;;;;;
Изображение разноцветных свежевыжатых фруктовых соков в стеклянных бокалах.;;;;;;;;;1;;;1;;;;;;;;;
Визуализация аппетитных кусочков черничного пирога с крошкой и мятой.;;;;;;;;;;;;1;;;;;;;;;
Визуализация аппетитных кусочков тыквенного пирога с корицей и ванильным соусом.;;;;;;;;;;;;1;;;;;;;;;
"На фото показаны свежие и сочные гранатовые зерна, выложенные на черной подложке.";;;;;;;;;1;;;1;;;;;;;;;
Изображение разноцветных фруктовых салатов с добавлением мятных листьев и дольками лайма.;;;;;;;;;;;;1;;;;;;;;;
Визуализация аппетитных кусочков малинового пирога с взбитыми сливками.;;;;;;;;;;;;1;;;;;;;;;
"Изображение ароматных и сочных грецких орехов, выложенных на деревянной доске.";;;;;;;;;1;;;1;;;;;;;;;
Визуализация аппетитных кусочков клубничного пирога с ванильным кремом и мятой.;;;;;;;;;;;;1;;;;;;;;;
Изображение разноцветных фруктовых салатов с добавлением дольками апельсина и киви.;;;;;;;;;;;;1;;;;;;;;;
Визуализация аппетитных кусочков черешневого пирога с мякотью и взбитыми сливками.;;;;;;;;;;;;1;;;;;;;;;
Визуализация аппетитных кусочков вишневого пирога с ванильным кремом и миндалем.;;;;;;;;;;;;1;;;;;;;;;
Изображение разноцветных фруктовых салатов с добавлением кусочков маракуйи и дольками манго.;;;;;;;;;;;;1;;;;;;;;;
Визуализация аппетитных кусочков черной смородины пирога с взбитыми сливками.;;;;;;;;;;;;1;;;;;;;;;
Визуализация аппетитных кусочков малинового пирога с мятой и малиновым вареньем.;;;;;;;;;;;;1;;;;;;;;;
Изображение разноцветных фруктовых салатов с добавлением кусочков ананаса и дольками персика.;;;;;;;;;;;;1;;;;;;;;;
Визуализация аппетитных кусочков черешневого пирога с ванильным кремом и миндалем.;;;;;;;;;;;;1;;;;;;;;;
"Горы, покрытые белоснежным покрывалом, тянутся к небу.";;;;;;;;;;;;;1;;;;;;;;
"Под лазурным небом расстилается луг, усыпанный яркими полевыми цветами.";;;;;;;;;;;;;1;;;;;;;;
"Закатное небо окрашивает облака в оттенки огня, создавая впечатление огромного пламенного фонаря.";;;;;;;;;;;;;1;;;;;;;;
"Туманное утро на озере, где зеркальная гладь отражает сосны.";;;;;;;;;;;;;1;;;;;;;;
"Лес, укутанный в зелень.";;;;;;;;;;;;;1;;;;;;;;
"Водопад, обрушивающий свою мощь среди зеленых джунглей, создавая атмосферу дикой природной красоты.";;;;;;;;;;;;;1;;;;;;;;
"Прилив моря, заливающий песчаный пляж своими шелковистыми волнами.";;;;;;;;;;;;;1;;;;;;;;
"Зимний лес, где каждая ветвь украшена снежными кристаллами.";;;;;;;;;;;;;1;;;;;;;;
"Рассвет над океаном, когда первые лучи солнца проникают сквозь тучи, окрашивая их в розовые оттенки.";;;;;;;;;;;;;1;;;;;;;;
"Скалистый берег, утопающий в сумерках, где волны ласкают каменные утесы своим нежным прикосновением.";;;;;;;;;;;;;1;;;;;;;;
"Поля, раскинувшиеся до горизонта.";;;;;;;;;;;;;1;;;;;;;;
"Луг, покрытый росой, изогнутый под утренним солнцем.";;;;;;;;;;;;;1;;;;;;;;
"Город, окруженный холмами.";;;;;;;;;;;;;1;;;;;;;;
"Пустыня, где каждый горизонт обещает новое приключение и загадку.";;;;;;;;;;;;;1;;;;;;;;
"Река, медленно петляющая среди лугов.";;;;;;;;;;;;;1;;;;;;;;
"Каскады водопадов, которые соткались в одну единую гармонию природы.";;;;;;;;;;;;;1;;;;;;;;
"Лесной пруд, на поверхности которого танцуют лучи солнца.";;;;;;;;;;;;;1;;;;;;;;
"Грозовое небо над полями, где молнии вырываются из облаков, озаряя землю своими яркими молниями.";;;;;;;;;;;;;1;;;;;;;;1
"Поляна, усыпанная цветами.";;;;;;;;;;;;;1;;;;;;;;
"Горная вершина, пробивающая облака.";;;;;;;;;;;;;1;;;;;;;;1
"Пляж, на котором волнорез разбивает прибой, создавая белые пены и пенные узоры.";;;;;;;;;;;;;1;;;;;;;;
"Остров, окруженный синими волнами.";;;;;;;;;;;;;1;;;;;;;;
"Скалистый утес, возвышающийся над морем.";;;;;;;;;;;;;1;;;;;;;;
"Лесная тропа, уходящая в даль.";;;;;;;;;;;;;1;;;;;;;;
"Полярное сияние, раскрашивающее небо яркими зелеными и фиолетовыми красками.";;;;;;;;;;;;;1;;;;;;;;
"Лесной ручей, шепчущий свои тайны среди зеленых деревьев.";;;;;;;;;;;;;1;;;;;;;;
"Скалистый берег, на котором разбиваются бушующие волны.";;;;;;;;;;;;;1;;;;;;;;
"Озеро, на поверхности которого отражается небо.";;;;;;;;;;;;;1;;;;;;;;
"Луг, покрытый утренней росой.";;;;;;;;;;;;;1;;;;;;;;
"Закат на пустынном побережье, когда солнце окрашивает песок в оттенки золота.";;;;;;;;;;;;;1;;;;;;;;
Горный хребет.;;;;;;;;;;;;;1;;;;;;;;
"Поля, покрытые пурпурным цветом лаванды.";;;;;;;;;;;;;1;;;;;;;;
"Ледник, который словно живой огромный змей, тянется среди гор.";;;;;;;;;;;;;1;;;;;;;;
"Лес, окутанный туманом.";;;;;;;;;;;;;1;;;;;;;;
"Река, утопающая в цветущих полях.";;;;;;;;;;;;;1;;;;;;;;
"Город, окруженный горами.";;;;;;;;;;;;;1;;;;;;;;
"Поля, покрытые золотистыми колосьями.";;;;;;;;;;;;;1;;;;;;;;
Городской парк.;;;;;;;;;;;;;1;;;;;;;;
"Океан, раскинувшийся до горизонта.";;;;;;;;;;;;;1;;;;;;;;
Грозовые облака над горами.;;;;;;;;;;;;;1;;;;;;;;1
"Пляж, где играют волны.";;;;;;;;;;;;;1;;;;;;;;
"Закатное небо над озером, окрашенное в оттенки золота и розового.";;;;;;;;;;;;;1;;;;;;;;
"Горы, покрытые лесом.";;;;;;;;;;;;;1;;;;;;;;
"Луг, на котором пасутся овцы.";;;;1;;;;;;;;;1;;;;;;;;
"Зимний лес, усыпанный снегом.";;;;;;;;;;;;;1;;;;;;;;
"Поля, залитые светом луны.";;;;;;;;;;;;;1;;;;;;;;
Прибрежный лес.;;;;;;;;;;;;;1;;;;;;;;
"Остров, утопающий в зелени.";;;;;;;;;;;;;1;;;;;;;;
"Горы, окруженные облаками.";;;;;;;;;;;;;1;;;;;;;;
"Река, петляющая среди холмов.";;;;;;;;;;;;;1;;;;;;;;
"Поля, покрытые снегом.";;;;;;;;;;;;;1;;;;;;;;
"Океан, на котором парит парусник.";;;;;;;;;;;;;1;;;;;;;;
"Горный хребет, окруженный густым туманом.";;;;;;;;;;;;;1;;;;;;;;
Лес.;;;;;;;;;;;;;1;;;;;;;;
"Водопад, окруженный каменными скалами.";;;;;;;;;;;;;1;;;;;;;;
"Закатное небо над полями, окрашенное в оттенки огня.";;;;;;;;;;;;;1;;;;;;;;
Пустынное побережье.;;;;;;;;;;;;;1;;;;;;;;
"Луг, на котором пасутся лошади.";;;;1;;;;;;;;;1;;;;;;;;
"Горы, обрамленные лесом.";;;;;;;;;;;;;1;;;;;;;;
"Озеро, на котором плывут лебеди.";;;;1;;;;;;;;;1;;;;;;;;
Городской парк.;;;;;;;;;;;;;1;;;;;;;;
"Поля, покрытые рябью колосьев.";;;;;;;;;;;;;1;;;;;;;;
Зимний лес.;;;;;;;;;;;;;1;;;;;;;;
Грозовые облака над океаном.;;;;;;;;;;;;;1;;;;;;;;1
Пустынный пейзаж.;;;;;;;;;;;;;1;;;;;;;;
Река.;;;;;;;;;;;;;1;;;;;;;;
"Горные вершины, окруженные облаками.";;;;;;;;;;;;;1;;;;;;;;1
"Лес, покрытый туманом.";;;;;;;;;;;;;1;;;;;;;;
Закат над озером.;;;;;;;;;;;;;1;;;;;;;;
"Город, окутанный ночным туманом.";;;;;;;;;;;;;1;;;;;;;;
"Поля, покрытые цветущими маками.";;;;;;;;;;;;;1;;;;;;;;
Луг.;;;;;;;;;;;;;1;;;;;;;;
"Прибрежный утес, обрызганный водой.";;;;;;;;;;;;;1;;;;;;;;
"Горы, утопающие в зелени.";;;;;;;;;;;;;1;;;;;;;;
"Поля, покрытые утренней росой.";;;;;;;;;;;;;1;;;;;;;;
"Озеро, на котором качается лодка.";;;;;;;;;1;;;;1;;;;;;;;
"Лес, окутанный мистическим туманом.";;;;;;;;;;;;;1;;;;;;;;
"Горы, на фоне которых расстилается закатное небо.";;;;;;;;;;;;;1;;;;;;;;
"Пустынное побережье, где ветер гонит песок.";;;;;;;;;;;;;1;;;;;;;;
"Река, текущая между горами.";;;;;;;;;;;;;1;;;;;;;;
"Горный хребет, окутанный легким туманом.";;;;;;;;;;;;;1;;;;;;;;
"Луг, где танцуют бабочки.";;;;;;;;;;;;;1;;;;;;;;
Океан.;;;;;;;;;;;;;1;;;;;;;;
"Горы, на вершинах которых покрывающий их снег.";;;;;;;;;;;;;1;;;;;;;;
Закат на пустынном побережье.;;;;;;;;;;;;;1;;;;;;;;
"Река, медленно текущая среди лугов.";;;;;;;;;;;;;1;;;;;;;;
"Горные вершины, окруженные тучами.";;;;;;;;;;;;;1;;;;;;;;
"Поля, усыпанные маками и подсолнухами.";;;;;;;;;;;;;1;;;;;;;;
"Остров, окруженный прозрачными волнами.";;;;;;;;;;;;;1;;;;;;;;
Горы.;;;;;;;;;;;;;1;;;;;;;;
"Поле, на котором стоят стога сена.";;;;;;;;;1;;;;1;;;;;;;;
"Озеро, на котором плывут лебеди.";;;;1;;;;;;;;;1;;;;;;;;
"Луг, где пасутся овцы.";;;;1;;;;;;;;;1;;;;;;;;
"Горы, окутанные туманом.";;;;;;;;;;;;;1;;;;;;;;
"Пустынное побережье, где ветер разносит песок.";;;;;;;;;;;;;1;;;;;;;;
"Река, текущая среди холмов.";;;;;;;;;;;;;1;1;;;;;;;
"Горные вершины, возвышающиеся над тучами.";;;;;;;;;;;;;1;;;;;;;;
На изображении изображена детальная топографическая карта горного массива.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок показывает план городской застройки с улицами и зданиями.;;;;;;;;;;;;;;1;;;;;;;
На изображении видна карта сельской местности с полями и лесами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок - детальная географическая карта рек и озер в регионе.;;;;;;;;;;;;;;1;;;;;;;
Здесь изображена топографическая карта пустыни с дюнами и оазисами.;;;;;;;;;;;;;;1;;;;;;;
На рисунке изображена географическая карта побережья с портами и маяками.;;;;;;;;;;;;;;1;;;;;;;
Это карта морского дна с глубинами и подводными хребтами.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает топографию острова с холмами и пляжами.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены ледники и горные перевалы высокогорья.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок представляет собой географическую карту континентов с реками и горами.;;;;;;;;;;;;;;1;;;;;;;
На изображении видна топографическая карта морского побережья с каньонами и заливами.;;;;;;;;;;;;;;1;;;;;;;
Это карта океанических течений и морских потоков.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает географическую карту пустыни с дюнами и оазисами.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены города и дороги региона.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок - детальная топографическая карта района с реками и лесами.;;;;;;;;;;;;;;1;;;;;;;
Здесь изображена географическая карта островного архипелага с заливами и проливами.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает географическую карту океана с островами и атоллами.;;;;;;;;;;;;;;1;;;;;;;
На изображении видна топографическая карта речной долины с поселениями и полями.;;;;;;;;;;;;;;1;;;;;;;
Это карта местности с горами и долинами.;;;;;;;;;;;;;;1;;;;;;;
Рисунок представляет собой географическую карту лесного массива с реками и озерами.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены контурные линии горного хребта.;;;;;;;;;;;;;;1;;;;;;;
Здесь видна географическая карта сельской местности с фермами и пастбищами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок показывает карту островов с коралловыми рифами и лагунами.;;;;;;;;;;;;;;1;;;;;;;
На изображении изображена топографическая карта долины с рекой и городами.;;;;;;;;;;;;;;1;;;;;;;
Это карта морского дна с подводными горами и животными.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает географическую карту равнины с озерами и болотами.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены города и дороги региона.;;;;;;;;;;;;;;1;;;;;;;
Здесь изображена географическая карта сельской местности с полями и лесами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок - детальная топографическая карта побережья с портами и маяками.;;;;;;;;;;;;;;1;;;;;;;
На изображении видна карта морского дна с глубинами и подводными хребтами.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает топографию острова с холмами и пляжами.;;;;;;;;;;;;;;1;;;;;;;
Это карта морских течений и приливов.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены ледники и горные перевалы высокогорья.;;;;;;;;;;;;;;1;;;;;;;
Здесь изображена географическая карта континентов с реками и горами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок представляет собой карту океана с островами и атоллами.;;;;;;;;;;;;;;1;;;;;;;
На изображении видна топографическая карта островного архипелага с заливами и проливами.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает географическую карту пустыни с дюнами и оазисами.;;;;;;;;;;;;;;1;;;;;;;
Это карта местности с горами и долинами.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены контурные линии горного хребта.;;;;;;;;;;;;;;1;;;;;;;
Здесь видна географическая карта сельской местности с фермами и пастбищами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок показывает карту островов с коралловыми рифами и лагунами.;;;;;;;;;;;;;;1;;;;;;;
На изображении изображена топографическая карта долины с рекой и городами.;;;;;;;;;;;;;;1;;;;;;;
Это карта морского дна с подводными горами и животными.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает географическую карту равнины с озерами и болотами.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены города и дороги региона.;;;;;;;;;;;;;;1;;;;;;;
Здесь изображена географическая карта сельской местности с полями и лесами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок - детальная топографическая карта побережья с портами и маяками.;;;;;;;;;;;;;;1;;;;;;;
На изображении видна карта морского дна с глубинами и подводными хребтами.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает топографию острова с холмами и пляжами.;;;;;;;;;;;;;;1;;;;;;;
Это карта морских течений и приливов.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены ледники и горные перевалы высокогорья.;;;;;;;;;;;;;;1;;;;;;;
Здесь изображена географическая карта континентов с реками и горами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок представляет собой карту океана с островами и атоллами.;;;;;;;;;;;;;;1;;;;;;;
На изображении видна топографическая карта островного архипелага с заливами и проливами.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает географическую карту пустыни с дюнами и оазисами.;;;;;;;;;;;;;;1;;;;;;;
Это карта местности с горами и долинами.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены контурные линии горного хребта.;;;;;;;;;;;;;;1;;;;;;;
Здесь видна географическая карта сельской местности с фермами и пастбищами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок показывает карту островов с коралловыми рифами и лагунами.;;;;;;;;;;;;;;1;;;;;;;
На изображении изображена топографическая карта долины с рекой и городами.;;;;;;;;;;;;;;1;;;;;;;
Это карта морского дна с подводными горами и животными.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает географическую карту равнины с озерами и болотами.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены города и дороги региона.;;;;;;;;;;;;;;1;;;;;;;
Здесь изображена географическая карта сельской местности с полями и лесами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок - детальная топографическая карта побережья с портами и маяками.;;;;;;;;;;;;;;1;;;;;;;
На изображении видна карта морского дна с глубинами и подводными хребтами.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает топографию острова с холмами и пляжами.;;;;;;;;;;;;;;1;;;;;;;
Это карта морских течений и приливов.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены ледники и горные перевалы высокогорья.;;;;;;;;;;;;;;1;;;;;;;
Здесь изображена географическая карта континентов с реками и горами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок представляет собой карту океана с островами и атоллами.;;;;;;;;;;;;;;1;;;;;;;
На изображении видна топографическая карта островного архипелага с заливами и проливами.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает географическую карту пустыни с дюнами и оазисами.;;;;;;;;;;;;;;1;;;;;;;
Это карта местности с горами и долинами.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены контурные линии горного хребта.;;;;;;;;;;;;;;1;;;;;;;
Здесь видна географическая карта сельской местности с фермами и пастбищами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок показывает карту островов с коралловыми рифами и лагунами.;;;;;;;;;;;;;;1;;;;;;;
На изображении изображена топографическая карта долины с рекой и городами.;;;;;;;;;;;;;;1;;;;;;;
Это карта морского дна с подводными горами и животными.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает географическую карту равнины с озерами и болотами.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены города и дороги региона.;;;;;;;;;;;;;;1;;;;;;;
Здесь изображена географическая карта сельской местности с полями и лесами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок - детальная топографическая карта побережья с портами и маяками.;;;;;;;;;;;;;;1;;;;;;;
На изображении видна карта морского дна с глубинами и подводными хребтами.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает топографию острова с холмами и пляжами.;;;;;;;;;;;;;;1;;;;;;;
Это карта морских течений и приливов.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены ледники и горные перевалы высокогорья.;;;;;;;;;;;;;;1;;;;;;;
Здесь изображена географическая карта континентов с реками и горами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок представляет собой карту океана с островами и атоллами.;;;;;;;;;;;;;;1;;;;;;;
На изображении видна топографическая карта островного архипелага с заливами и проливами.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает географическую карту пустыни с дюнами и оазисами.;;;;;;;;;;;;;;1;;;;;;;
Это карта местности с горами и долинами.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены контурные линии горного хребта.;;;;;;;;;;;;;;1;;;;;;;
Здесь видна географическая карта сельской местности с фермами и пастбищами.;;;;;;;;;;;;;;1;;;;;;;
Этот рисунок показывает карту островов с коралловыми рифами и лагунами.;;;;;;;;;;;;;;1;;;;;;;
На изображении изображена топографическая карта долины с рекой и городами.;;;;;;;;;;;;;;1;;;;;;;
Это карта морского дна с подводными горами и животными.;;;;;;;;;;;;;;1;;;;;;;
Рисунок показывает географическую карту равнины с озерами и болотами.;;;;;;;;;;;;;;1;;;;;;;
На этой карте изображены города и дороги региона.;;;;;;;;;;;;;;1;;;;;;;
Здесь изображена географическая карта сельской местности с полями и лесами.;;;;;;;;;;;;;;1;;;;;;;
"Колосистая пшеница, колышущаяся на ветру.";;;;;;;;;;;;;;;1;;;;;;
"Роза, распускающая свои нежные лепестки.";;;;;;;;;;;;;;;1;;;;;;
"Дубовое дерево, с могучим стволом и зелеными листьями.";;;;;;;;;;;;;;;1;;;;;;
"Арбуз, созревающий на поле.";;;;;;;;;;;;;;;1;;;;;;
"Лилия, раскрывающая свои белоснежные цветы.";;;;;;;;;;;;;;;1;;;;;;
"Пальма, с ветвями, украшенными сочными кокосами.";;;;;;;;;;;;;;;1;;;;;;
"Морковь, с яркими оранжевыми корнями.";;;;;;;;;;;;;;;1;;;;;;
"Мак, с красными лепестками.";;;;;;;;;;;;;;;1;;;;;;
"Береза, с белоснежной корой и изящными листьями.";;;;;;;;;;;;;;;1;;;;;;
"Гранатовое дерево, с сочными красными плодами.";;;;;;;;;;;;;;;1;;;;;;
"Тюльпан, с яркими разноцветными бутонами.";;;;;;;;;;;;;;;1;;;;;;
"Яблоня, с сочными плодами на ветках.";;;;;;;;;;;;;;;1;;;;;;
"Сосна, с ветвями, украшенными зелеными иголками.";;;;;;;;;;;;;;;1;;;;;;
"Картофель, с подземными клубнями.";;;;;;;;;;;;;;;1;;;;;;
"Ромашка, с белыми лепестками и желтым сердцевинком.";;;;;;;;;;;;;;;1;;;;;;
"Финиковая пальма, с сладкими плодами на высоких ветвях.";;;;;;;;;;;;;;;1;;;;;;
"Огурец, с сочными зелеными плодами.";;;;;;;;;;;;;;;1;;;;;;
"Фиалка, с нежными фиолетовыми цветами.";;;;;;;;;;;;;;;1;;;;;;
"Ива, с изящными свисающими ветвями.";;;;;;;;;;;;;;;1;;;;;;
"Виноградная лоза, с сочными гроздьями винограда.";;;;;;;;;;;;;;;1;;;;;;
"Сирень, с ароматными цветами.";;;;;;;;;;;;;;;1;;;;;;
"Апельсиновое дерево, с яркими плодами и зелеными листьями.";;;;;;;;;;;;;;;1;;;;;;
"Кукуруза, с сочными зернами на стеблях.";;;;;;;;;;;;;;;1;;;;;;
